frame,id,x,y
3,1,13.27134575,4.533146338
3,2,4.244521568,3.015732546
3,3,8.336593211,5.174609568
3,4,9.623629225,0.836409039
4,1,13.25474217,4.600649996
4,2,4.21499489,3.019068566
4,3,8.361480319,5.171705184
4,4,9.655278814,0.832903867
5,1,13.30382245,4.594922212
5,2,4.21499489,3.019068566
5,3,8.356884121,5.106215184
5,4,9.686925555,0.829399011
6,1,13.35289584,4.589195232
6,2,4.21499489,3.019068566
6,3,8.347570534,4.973508386
6,4,9.752064275,0.714699349
7,1,13.37742995,4.586332043
7,2,4.158563355,2.934037321
7,3,8.342852076,4.906276344
7,4,9.748377093,0.92889763
8,1,13.40929946,4.647600497
8,2,4.158563355,2.934037321
8,3,8.338091779,4.838448153
8,4,9.779841534,0.925408208
9,1,13.43372384,4.644747845
9,2,4.158563355,2.934037321
9,3,8.323554217,4.631306321
9,4,9.81130316,0.921919099
10,1,13.4825675,4.639043139
10,2,4.158563355,2.934037321
10,3,8.297771089,4.634295342
10,4,9.842761971,0.918430301
11,1,13.52459852,4.569157125
11,2,4.158563355,2.934037321
11,3,8.297771089,4.634295342
11,4,9.905671153,0.911453642
12,1,13.59815959,4.560572374
12,2,4.158563355,2.934037321
12,3,8.292721187,4.564012375
12,4,9.934277445,1.013395307
13,1,13.69621696,4.549128848
13,2,4.155934156,3.02574144
13,3,8.28762549,4.493092054
13,4,9.959619599,1.21739089
14,1,13.76974194,4.540548309
14,2,4.155934156,3.02574144
14,3,8.277294199,4.349304353
14,4,9.990554963,1.213946421
15,1,13.86238471,4.46422607
15,2,4.155934156,3.02574144
15,3,8.245678686,4.279463627
15,4,10.01823632,1.31259198
16,1,13.9361944,4.45561922
16,2,4.155934156,3.02574144
16,3,8.213768775,4.208972557
16,4,10.07621618,1.406758713
17,1,13.9853922,4.44988233
17,2,4.155934156,3.02574144
17,3,8.181560336,4.137822018
17,4,10.10681037,1.403343426
18,1,14.05917592,4.441278508
18,2,4.12887875,2.937387358
18,3,8.202555523,4.059844195
18,4,10.1374019,1.399928435
19,1,14.13294407,4.432676502
19,2,4.12887875,2.937387358
19,3,8.191131228,3.907909105
19,4,10.19857697,1.393099346
20,1,14.15752999,4.42980957
20,2,4.12887875,2.937387358
20,3,8.185338069,3.830864157
20,4,10.2597414,1.386271445
21,1,14.20669665,4.424076311
21,2,4.12887875,2.937387358
21,3,8.234006272,3.746836452
21,4,10.32089519,1.379444733
22,1,14.27685194,4.34985176
22,2,4.12887875,2.937387358
22,3,8.239596311,3.824636876
22,4,10.38203834,1.372619208
23,1,14.32621652,4.344100086
23,2,4.12887875,2.937387358
23,3,8.234006272,3.746836452
23,4,10.41260592,1.369206891
24,1,14.37557413,4.338349226
24,2,4.12887875,2.937387358
24,3,8.22836288,3.668293466
24,4,10.40731243,1.469310651
25,1,14.42492476,4.332599177
25,2,4.101543614,2.848119766
25,3,8.222665366,3.588997237
25,4,10.46811524,1.462514507
26,1,14.49893765,4.323975627
26,2,4.101543614,2.848119766
26,3,8.211104829,3.428101286
26,4,10.52302823,1.554819712
27,1,14.52360513,4.321101516
27,2,4.043926422,2.761301969
27,3,8.205240196,3.34647915
27,4,10.55326005,1.551436359
28,1,14.57293486,4.315353904
28,2,4.043926422,2.761301969
28,3,8.199318221,3.264058934
28,4,10.60742241,1.642769387
29,1,14.5506697,4.383966071
29,2,4.046016615,2.666786794
29,3,8.187298844,3.096776978
29,4,10.64393992,1.541288048
30,1,14.62225762,4.309607103
30,2,4.04812858,2.571287138
30,3,8.20967389,3.008656092
30,4,10.67416134,1.53790586
31,1,14.64691639,4.306734007
31,2,4.080731476,2.471369259
31,3,8.20365615,2.922910925
31,4,10.70438016,1.534523962
32,1,14.67157342,4.303861113
32,2,4.111197677,2.467951274
32,3,8.197578098,2.836306391
32,4,10.75772373,1.625927787
33,1,14.69622871,4.300988423
33,2,4.144298477,2.366976929
33,3,8.197578098,2.836306391
33,4,10.84787365,1.615826285
34,1,14.72088226,4.298115935
34,2,4.174919613,2.363545762
34,3,8.226335823,2.833046349
34,4,10.90016473,1.706300953
35,1,14.72088226,4.298115935
35,2,4.174919613,2.363545762
35,3,8.226335823,2.833046349
35,4,10.95992819,1.699596124
36,1,14.77018414,4.292371568
36,2,4.205538103,2.360114891
36,3,8.249242066,2.742284027
36,4,11.01134646,1.789142443
37,1,14.77018414,4.292371568
37,2,4.205538103,2.360114891
37,3,8.249242066,2.742284027
37,4,11.04106433,1.785804378
38,1,14.79483246,4.289499689
38,2,4.205538103,2.360114891
38,3,8.249242066,2.742284027
38,4,11.0622242,1.87774743
39,1,14.81947905,4.286628012
39,2,4.146963598,2.268388121
39,3,8.237365259,2.564608059
39,4,11.12134079,1.871099206
40,1,14.8441239,4.283756538
40,2,4.146963598,2.268388121
40,3,8.231335761,2.474407323
40,4,11.15089535,1.867775514
41,1,14.8441239,4.283756538
41,2,4.146963598,2.268388121
41,3,8.248735626,2.28787206
41,4,11.20077115,1.95549505
42,1,14.86876701,4.280885267
42,2,4.146963598,2.268388121
42,3,8.242671498,2.194832984
42,4,11.23016665,1.952185338
43,1,14.84523437,4.349617276
43,2,4.146963598,2.268388121
43,3,8.26649729,2.097458117
43,4,11.25955968,1.948875904
44,1,14.84523437,4.349617276
44,2,4.146963598,2.268388121
44,3,8.26046298,2.002447579
44,4,11.25012817,2.042302163
45,1,14.84523437,4.349617276
45,2,4.087755792,2.175669612
45,3,8.26046298,2.002447579
45,4,11.30860686,2.035710207
46,1,14.84633523,4.414907336
46,2,4.087755792,2.175669612
46,3,8.290571062,1.99906977
46,4,11.33784255,2.03241464
47,1,14.82310079,4.482475241
47,2,4.056801102,2.179129526
47,3,8.284632158,1.903043248
47,4,11.35714656,2.121646043
48,1,14.82310079,4.482475241
48,2,4.054598559,2.278725026
48,3,8.333737177,1.701081413
48,4,11.37625343,2.209966248
49,1,14.79877331,4.485316575
49,2,4.023804864,2.282171259
49,3,8.327934632,1.601922686
49,4,11.42395161,2.294133197
50,1,14.79877331,4.485316575
50,2,3.993008495,2.285617792
50,3,8.358681167,1.598490393
50,4,11.44252694,2.380685309
51,1,14.79877331,4.485316575
51,2,3.993008495,2.285617792
51,3,8.352981999,1.498249114
51,4,11.48940755,2.463137024
51,18,4.29669294,-4.836689097
52,1,14.79877331,4.485316575
52,2,3.96220945,2.289064624
52,3,8.378298486,1.393461628
52,4,11.51789733,2.459907357
52,18,4.29669294,-4.836689097
53,1,14.77583974,4.552298905
53,2,3.96220945,2.289064624
53,3,8.372644329,1.291016458
53,4,11.53581528,2.544757061
53,18,4.29669294,-4.836689097
54,1,14.80006436,4.549467354
54,2,3.901987101,2.196433629
54,3,8.403888453,1.287542179
54,4,11.56415951,2.541540385
54,18,4.29669294,-4.836689097
55,1,14.80006436,4.549467354
55,2,3.901987101,2.196433629
55,3,8.403888453,1.287542179
55,4,11.55355484,2.628761984
55,18,4.29669294,-4.836689097
56,1,14.80006436,4.549467354
56,2,3.901987101,2.196433629
56,3,8.398343704,1.183960699
56,4,11.58175726,2.625557943
56,18,4.29669294,-4.836689097
57,1,14.80006436,4.549467354
57,2,3.871016189,2.199895356
57,3,8.429756356,1.180472325
57,4,11.59918068,2.708743181
58,1,14.80006436,4.549467354
58,2,3.840042571,2.203357385
58,3,8.42432374,1.075735792
58,4,11.59918068,2.708743181
59,1,14.80006436,4.549467354
59,2,3.80996795,2.106271846
59,3,8.418830978,0.969839668
59,4,11.63815529,2.619150634
59,18,4.29669294,-4.836689097
60,1,14.7772234,4.615891003
60,2,3.80996795,2.106271846
60,3,8.413277064,0.862764586
60,4,11.63815529,2.619150634
60,18,4.334088485,-4.653782778
61,1,14.75310077,4.618712834
61,2,3.80996795,2.106271846
61,3,8.407660971,0.75449075
61,4,11.62724045,2.705551939
61,18,4.291938821,-4.649476047
